dataset,index,frequency_GHz,classification
dset1,0,6.07327090710153E-11,nonphysical_spurious_near_zero
dset1,1,1.66340166323179E-08,nonphysical_spurious_near_zero
dset1,2,3.50190062670389E-07,nonphysical_spurious_near_zero
dset1,3,6.18996429633207E-07,nonphysical_spurious_near_zero
dset1,4,2.07569929355672,candidate_physical
dset1,5,2.53829444012026,candidate_physical
dset1,6,2.94785456378142,candidate_physical
dset1,7,3.32404987549004,candidate_physical
dset1,8,3.38344743368663,candidate_physical
dset1,9,3.92820040445187,candidate_physical
dset1,10,4.26484455643823,candidate_physical
dset1,11,4.36311497647225,candidate_physical
dset2,0,1.48879624395496E-09,nonphysical_spurious_near_zero
dset2,1,1.92630384863288E-09,nonphysical_spurious_near_zero
dset2,2,5.12278981171398E-07,nonphysical_spurious_near_zero
dset2,3,1.49896144833876,candidate_physical
dset2,4,1.95514749051755,candidate_physical
dset2,5,2.46363643374314,candidate_physical
dset2,6,2.59809620736673,candidate_physical
dset2,7,2.9979272381868,candidate_physical
dset2,8,3.57914709391693,candidate_physical
dset2,9,3.67305313464258,candidate_physical
dset2,10,3.97157885566373,candidate_physical
dset2,11,4.24505271495722,candidate_physical
