"index","z_m","freq_Hz","Hnorm_A_m","copper_Rs_ohm","raw_surface_loss_W_m2","scale_to_20W","scaled_surface_loss_W_m2"
"0","0","1498961448.33876","2.01565613756549","0.0101009239958317","0.02051936884509","125662.965093791","2578.52473092717"
"1","0.0025","1498961448.33876","1.99853673707777","0.0101009239958317","0.0201722981902747","125662.965093791","2534.91080334604"
"2","0.005","1498961448.33876","1.98141733659004","0.0101009239958317","0.0198281878523763","125662.965093791","2491.6688779663"
"3","0.0075","1498961448.33876","1.95147694126172","0.0101009239958317","0.0192334837832185","125662.965093791","2416.93660128259"
"4","0.01","1498961448.33876","1.90439260641335","0.0101009239958317","0.0183165670897928","125662.965093791","2301.71413084272"
"5","0.0125","1498961448.33876","1.85730827156498","0.0101009239958317","0.0174220434841454","125662.965093791","2189.30564221068"
"6","0.015","1498961448.33876","1.78383975917398","0.0101009239958317","0.0160709957626784","125662.965093791","2019.52897954793"
"7","0.0175","1498961448.33876","1.70819810097311","0.0101009239958317","0.0147369488809952","125662.965093791","1851.88869282148"
"8","0.02","1498961448.33876","1.61149748825047","0.0101009239958317","0.0131156667544669","125662.965093791","1648.15357354837"
"9","0.0225","1498961448.33876","1.5211405472358","0.0101009239958317","0.0116861052529008","125662.965093791","1468.51063647764"
"10","0.025","1498961448.33876","1.41988786024259","0.0101009239958317","0.0101821431805724","125662.965093791","1279.51830308025"
"11","0.0275","1498961448.33876","1.29891325386004","0.0101009239958317","0.00852101645894896","125662.965093791","1070.77619384453"
"12","0.03","1498961448.33876","1.17646173196329","0.0101009239958317","0.00699015357806395","125662.965093791","878.403425080492"
"13","0.0325","1498961448.33876","1.05401021006653","0.0101009239958317","0.00561074774158895","125662.965093791","705.063197601362"
"14","0.035","1498961448.33876","0.906294568882783","0.0101009239958317","0.00414829719136828","125662.965093791","521.287325157585"
"15","0.0375","1498961448.33876","0.768012111978802","0.0101009239958317","0.00297897765699181","125662.965093791","374.347165325746"
"16","0.04","1498961448.33876","0.615617425920424","0.0101009239958317","0.00191404840643401","125662.965093791","240.524998085544"
"17","0.0425","1498961448.33876","0.46553817805313","0.0101009239958317","0.0010945653927521","125662.965093791","137.546332742279"
"18","0.045","1498961448.33876","0.317471219515968","0.0101009239958317","0.000509025838700325","125662.965093791","63.9656962004368"
"19","0.0475","1498961448.33876","0.151461089341745","0.0101009239958317","0.000115859929447611","125662.965093791","14.5593022699443"
"20","0.05","1498961448.33876","8.03223279272011E-05","0.0101009239958317","3.25839462974402E-11","125662.965093791","4.09459530619321E-06"
"21","0.0525","1498961448.33876","0.151300444685864","0.0101009239958317","0.000115614290014046","125662.965093791","14.5284344903786"
"22","0.055","1498961448.33876","0.31728843799032","0.0101009239958317","0.000508439872288222","125662.965093791","63.8920619236466"
"23","0.0575","1498961448.33876","0.465363699288017","0.0101009239958317","0.00109374508353269","125662.965093791","137.443250253475"
"24","0.06","1498961448.33876","0.615044438682975","0.0101009239958317","0.00191048705526727","125662.965093791","240.077468138192"
"25","0.0625","1498961448.33876","0.767769979060306","0.0101009239958317","0.00297709957502231","125662.965093791","374.11115997677"
"26","0.065","1498961448.33876","0.906063275836633","0.0101009239958317","0.00414618010958391","125662.965093791","521.021286383215"
"27","0.0675","1498961448.33876","1.05360884776077","0.0101009239958317","0.00560647546061043","125662.965093791","704.526330105887"
"28","0.07","1498961448.33876","1.17607878901704","0.0101009239958317","0.00698560367342393","125662.965093791","877.831670572533"
"29","0.0725","1498961448.33876","1.29854873027332","0.0101009239958317","0.00851623449891051","125662.965093791","1070.17527856713"
"30","0.075","1498961448.33876","1.41932482065399","0.0101009239958317","0.0101740695668715","125662.965093791","1278.50374884358"
"31","0.0775","1498961448.33876","1.52077930987523","0.0101009239958317","0.0116805555269758","125662.965093791","1467.81324146245"
"32","0.08","1498961448.33876","1.60992383814242","0.0101009239958317","0.0130900639928266","125662.965093791","1644.93625460606"
"33","0.0825","1498961448.33876","1.70740944988816","0.0101009239958317","0.0147233443373672","125662.965093791","1850.17910553044"
"34","0.085","1498961448.33876","1.78367460209457","0.0101009239958317","0.0160680200291931","125662.965093791","2019.15504005484"
"35","0.0875","1498961448.33876","1.85489346210234","0.0101009239958317","0.0173767698303139","125662.965093791","2183.61642062959"
"36","0.09","1498961448.33876","1.90159881742416","0.0101009239958317","0.0182628648357947","125662.965093791","2294.9657463731"
"37","0.0925","1498961448.33876","1.94830417274598","0.0101009239958317","0.0191709938980498","125662.965093791","2409.08393702393"
"38","0.095","1498961448.33876","1.98100848137608","0.0101009239958317","0.0198200058087118","125662.965093791","2490.6406980989"
"39","0.0975","1498961448.33876","1.99793808125627","0.0101009239958317","0.0201602148947157","125662.965093791","2533.39238059799"
"40","0.1","1498961448.33876","1.98933903059081","0.0101009239958317","0.0199870507248813","125662.965093791","2511.6320575686"
